,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
237,勉強,勉強[べんきょう],べんきょう,study,Verbal Noun,私は日本語を<b>勉強</b>しています。,I'm studying Japanese.,1,131
238,強い,強[つよ]い,つよい,strong,Adjective,今日は風が<b>強い</b>。,There's a strong wind today.,2,121
239,どれ,どれ,どれ,"what, which",Noun,この中で<b>どれ</b>が好きですか。,Which of these do you like?,1,160
240,弱い,弱[よわ]い,よわい,weak,Adjective,その子は体が少し<b>弱い</b>。,That child has a somewhat weak constitution.,1,182
241,引く,引[ひ]く,ひく,"pull, draw",Verb,このドアは<b>引いて</b>ください。,Please pull this door open.,1,195
242,質問,質問[しつもん],しつもん,question,Verbal Noun,<b>質問</b>のある方はどうぞ。,Please feel free to ask any questions.,1,126
243,難しい,難[むずか]しい,むずかしい,difficult,Adjective,この本は<b>難しい</b>ですね。,This book is difficult.,1,96
244,数,数[かず],かず,(the) number,Noun,グラスの<b>数</b>が足りません。,There are not enough glasses.,1,83
245,勝つ,勝[か]つ,かつ,win,Verb,今日はヤンキースが<b>勝った</b>。,The Yankees won today.,1,140
246,負ける,負[ま]ける,まける,"lose, be defeated",Verb,私たちのチームはその試合で<b>負けた</b>。,Our team lost the game.,1,192
247,本当に,本当[ほんとう]に,ほんとうに,"really, truly",Adverb,あなたが<b>本当に</b>好きです。,I really like you.,2,193
248,要る,要[い]る,いる,"need, require",Verb,予約は<b>要りません</b>。,Reservations are not required.,2,54
249,ドア,ドア,ドア,door,Noun,<b>ドア</b>を開けてください。,Please open the door.,1,200
250,時計,時計[とけい],とけい,"clock, watch",Noun,<b>時計</b>を見たらちょうど3時だった。,I looked at the clock and it was exactly three.,2,44
251,払う,払[はら]う,はらう,pay,Verb,私が<b>払いましょう</b>。,Let me pay for that.,1,147
252,切る,切[き]る,きる,cut,Verb,この紙を半分に<b>切って</b>ください。,Please cut this paper in half.,2,4
253,変える,変[か]える,かえる,to change (st),Verb,旅行の日程を<b>変えました</b>。,I changed our travel schedule.,1,80
254,乗る,乗[の]る,のる,"ride, take",Verb,駅からはタクシーに<b>乗って</b>ください。,Please take a taxi from the station.,1,99
255,着る,着[き]る,きる,"wear, put on",Verb,今日はスーツを<b>着ています</b>。,I'm wearing a suit today.,1,163
256,立つ,立[た]つ,たつ,"stand, rise",Verb,彼はステージに<b>立った</b>。,He stood on stage.,1,72
257,座る,座[すわ]る,すわる,"sit, sit down",Verb,私は窓側の席に<b>座った</b>。,I sat in a window seat.,1,184
258,次,次[つぎ],つぎ,next,Noun,<b>次</b>はいつ会いましょうか。,When shall we meet again?,1,120
259,喋る,喋る[しゃべる],しゃべる,"chat, talk",Verb,彼女はよく<b>喋る</b>ね。,"She really likes to chat, doesn't she?",2,27
260,動く,動[うご]く,うごく,move (が),Verb,<b>動かないで</b>。,Freeze!,2,133
261,働く,働[はたら]く,はたらく,to work,Verb,姉は銀行で<b>働いています</b>。,My big sister works at a bank.,1,69
262,早い,早[はや]い,はやい,early,Adjective,まだ学校へ行くには<b>早い</b>時間です。,It's still too early to go to school.,1,110
263,速い,速[はや]い,はやい,fast,Adjective,彼は走るのが<b>速い</b>。,He runs fast.,1,176
264,遅い,遅[おそ]い,おそい,"slow, late",Adjective,前の車はとても<b>遅い</b>。,The car in front is very slow.,1,174
265,始める,始[はじ]める,はじめる,"begin, start を",Verb,テストを<b>始めて</b>ください。,Please start the test.,1,10
266,始まる,始[はじ]まる,はじまる,begin が,Verb,新しい仕事が<b>始まりました</b>。,My new job started.,2,32
267,終わる,終[お]わる,おわる,"finish, end",Verb,会議は4時に<b>終わります</b>。,The conference ends at four o'clock.,1,63
268,終わり,終[お]わり,おわり,"end, conclusion",Noun,夏休みももう<b>終わり</b>だ。,Summer vacation's already over.,2,18
269,テーブル,テーブル,テーブル,table,Noun,新しい<b>テーブル</b>を買いました。,I bought a new table.,2,30
270,去年,去年[きょねん],きょねん,last year,Noun,私は<b>去年</b>フランスへ行った。,I went to France last year.,1,194
271,紙,紙[かみ],かみ,paper,Noun,<b>紙</b>と鉛筆はありますか。,Do you have paper and pencil?,1,172
272,楽しむ,楽[たの]しむ,たのしむ,enjoy,Verb,今日は一人の時間を<b>楽しみたい</b>。,Today I would like to enjoy some time to myself.,1,127
273,楽しい,楽[たの]しい,たのしい,"fun, enjoyable",Adjective,彼はとても<b>楽しい</b>人です。,He's very fun to be with.,2,7
274,歌う,歌[うた]う,うたう,sing,Verb,私たちは大きな声で<b>歌いました</b>。,We sang loudly.,1,173
275,欲しい,欲[ほ]しい,ほしい,"want, desire",Adjective,僕は新しい靴が<b>欲しい</b>です。,I want new shoes.,2,177
276,色,色[いろ],いろ,color,Noun,すてきな<b>色</b>のセーターですね。,That sweater is a wonderful color.,1,128
277,茶色,茶色[ちゃいろ],ちゃいろ,light brown,Noun,彼女は<b>茶色</b>の靴を履いています。,She's wearing brown shoes.,2,61
278,すぐ,すぐ,すぐ,"at once, soon",Adverb,<b>すぐ</b>行きます。,I'll go right away.,1,91
279,ゲーム,ゲーム,ゲーム,game,Noun,私たちはビデオ<b>ゲーム</b>をした。,We played a video game.,2,33
280,書き直す,書[か]き 直[なお]す,かきなおす,rewrite,Verb,この書類を<b>書き直して</b>ください。,Please rewrite this document.,2,84
281,直る,直[なお]る,なおる,"be repaired, return to normal",Verb,クーラーはまだ<b>直りません</b>。,The air conditioner hasn't been repaired yet.,2,100
282,線,線[せん],せん,"line, route (trainなど)",Noun,赤い<b>線</b>を2本引いて下さい。,Please draw two red lines.,2,5
283,曲がる,曲[ま]がる,まがる,turn,Verb,そこを左に<b>曲がって</b>ください。,Please turn left there.,2,48
284,同じ,同[おな]じ,おなじ,"same, identical",Adjectival Noun,彼の日本語のレベルは私と<b>同じ</b>位だ。,His Japanese level is about the same as mine.,1,22
285,違う,違[ちが]う,ちがう,"differ, be wrong",Verb,答えが<b>違います</b>。,That's the wrong answer.,2,115
286,図書館,図書館[としょかん],としょかん,library,Noun,<b>図書館</b>で料理の本を借りた。,I borrowed a cookbook from the library.,1,196
287,泊まる,泊[と]まる,とまる,stay overnight,Verb,今日はこのホテルに<b>泊まります</b>。,I'm staying at this hotel today.,2,45
288,遊ぶ,遊[あそ]ぶ,あそぶ,"have a good time, play",Verb,子供たちが公園で<b>遊んでいる</b>。,The children are playing in the park.,1,180
289,どうして,どうして,どうして,why,Adverb,<b>どうして</b>泣いているの。,Why are you crying?,2,46
290,服,服[ふく],ふく,clothes,Noun,昨日、新しい<b>服</b>を買った。,I bought some new clothes yesterday.,2,8
291,お父さん,お 父[とう]さん,おとうさん,father,Noun,<b>お父さん</b>は会社員です。,My father's a company employee.,2,42
292,父,父[ちち],ちち,(speaker's)father,Noun,私は<b>父</b>が大好きです。,I love my father.,2,158
293,お母さん,お 母[かあ]さん,おかあさん,mother,Noun,<b>お母さん</b>によろしくお伝えください。,Please give my best to your mother.,2,15
294,母,母[はは],はは,(speaker's) mother,Noun,昨日、<b>母</b>と話をしました。,I talked to my mother yesterday.,2,170
295,親,親[おや],おや,parent,Noun,<b>親</b>の愛はありがたい。,We're grateful for our parents' love.,1,116
296,姉,姉[あね],あね,older sister,Noun,<b>姉</b>は大学生です。,My big sister's a college student.,1,155
297,お姉さん,お 姉[ねえ]さん,おねえさん,older sister,Noun,昨日、あなたの<b>お姉さん</b>に会ったよ。,I met your older sister yesterday.,2,99
298,妹,妹[いもうと],いもうと,younger sister,Noun,私の<b>妹</b>は小学生です。,My little sister goes to elementary school.,2,131
299,おなか,おなか,おなか,stomach,Noun,<b>おなか</b>が空きました。,I'm hungry.,2,49
300,兄,兄[あに],あに,older brother,Noun,<b>兄</b>は水泳が得意です。,My big brother is good at swimming.,1,111
301,お兄さん,お 兄[にい]さん,おにいさん,older brother,Noun,あなたの<b>お兄さん</b>は何歳?,How old's your big brother?,2,104
302,弟,弟[おとうと],おとうと,younger brother,Noun,<b>弟</b>は野球が好きです。,My little brother likes baseball.,2,137
303,娘,娘[むすめ],むすめ,"daughter, girl",Noun,私の<b>娘</b>はアメリカにいます。,My daughter is in the United States.,1,123
304,息子,息子[むすこ],むすこ,son,Noun,うちの<b>息子</b>は大学1年生です。,My son's a college freshman.,1,135
305,若い,若[わか]い,わかい,young,Adjective,彼はまだ<b>若い</b>です。,He's still young.,1,64
306,彼女,彼女[かのじょ],かのじょ,"she, one's girlfriend",Pronoun,<b>彼女</b>はOLです。,She's an office worker.,1,46
307,彼,彼[かれ],かれ,"he, one's boyfriend",Noun,<b>彼</b>は私の上司です。,He's my senior.,2,143
308,結婚,結婚[けっこん],けっこん,marriage,Verbal Noun,彼女は来月<b>結婚</b>します。,She's getting married next month.,1,115
309,ミーティング,ミーティング,ミーティング,meeting,Noun,朝9時から<b>ミーティング</b>が始まった。,The meeting started at 9 a.m.,2,50
310,自転車,自転車[じてんしゃ],じてんしゃ,bicycle,Noun,毎日、駅まで<b>自転車</b>で行きます。,I go to the station by bike every day.,1,169
311,自分,自分[じぶん],じぶん,"self, oneself",Noun,宿題は<b>自分</b>でやりなさい。,Do your homework by yourself.,2,194
312,ご主人,ご 主人[しゅじん],ごしゅじん,(your) husband,Noun,<b>ご主人</b>はお元気ですか。,How is your husband?,2,192
313,答える,答[こた]える,こたえる,"answer, reply",Verb,私の質問に<b>答えて</b>ください。,Please answer my question.,2,150
314,別,別[べつ],べつ,"another, different",Adjectival Noun,<b>別</b>の本も見せてください。,Please show me another book.,1,62
315,病気,病気[びょうき],びょうき,illness,Verbal Noun,祖父が<b>病気</b>になった。,My grandfather got sick.,1,141
316,死ぬ,死[し]ぬ,しぬ,die,Verb,犬が病気で<b>死にました</b>。,Our dog got sick and died.,1,98
317,痛い,痛[いた]い,いたい,painful,Adjective,今日は頭が<b>痛い</b>です。,I have a headache today.,2,41
318,酒,酒[さけ],さけ,"alcoholic drink, Japanese rice wine",Noun,彼女は<b>酒</b>に強い。,She holds her liquor well.,1,153
319,つける,つける,つける,switch on,Verb,電気を<b>つけて</b>ください。,Please turn on the light.,2,68
320,一杯,一杯[いっぱい],いっぱい,full,Adverb,プールは人で<b>一杯</b>です。,The pool is packed.,2,112
321,飛ぶ,飛[と]ぶ,とぶ,fly,Verb,鳥が<b>飛んでいます</b>。,A bird is flying.,1,78
322,飛行機,飛行機[ひこうき],ひこうき,airplane,Noun,息子は<b>飛行機</b>のおもちゃが好きです。,My son likes toy airplanes.,1,139
323,お願い,お 願[ねが]い,おねがい,"request, wish",Verbal Noun,<b>お願い</b>があります。,I have a favor to ask.,2,140
324,続く,続[つづ]く,つづく,"continue, follow が",Verb,工事は3月まで<b>続きます</b>。,Construction will continue until March.,1,24
325,日記,日記[にっき],にっき,diary,Noun,私は毎日、<b>日記</b>を付けています。,I keep a diary every day.,1,178
326,首,首[くび],くび,neck,Noun,きりんの<b>首</b>は長い。,Giraffes' necks are long.,1,175
327,頭,頭[あたま],あたま,head,Noun,今朝から<b>頭</b>が痛い。,I've had a headache since this morning.,1,103
328,顔,顔[かお],かお,face,Noun,彼はタオルで<b>顔</b>を拭きました。,He wiped his face with a towel.,1,51
329,あれ,あれ,あれ,that over there,Noun,<b>あれ</b>は何ですか。,What's that?,2,75
330,感じる,感[かん]じる,かんじる,"feel, sense",Verb,膝に痛みを<b>感じます</b>。,I feel a pain in my knee.,1,34
331,探す,探[さが]す,さがす,"search for, look for",Verb,彼は郵便局を<b>探していました</b>。,He was looking for the post office.,1,171
332,落ちる,落[お]ちる,おちる,"fall, go down",Verb,猿も木から<b>落ちる</b>。,Monkeys also fall from trees.,1,134
333,お手洗い,お 手洗[てあら]い,おてあらい,bathroom (polite),Noun,<b>お手洗い</b>はどこですか。,Where's the bathroom?,2,191
334,冷たい,冷[つめ]たい,つめたい,"cold (things, touch)",Adjective,<b>冷たい</b>飲み物をください。,Please give me a cold drink.,2,162
